"Activity"	"PersonID"	"tBodyAcc-mean-X"	"tBodyAcc-mean-Y"	"tBodyAcc-mean-Z"	"tBodyAcc-std-X"	"tBodyAcc-std-Y"	"tBodyAcc-std-Z"
"LAYING"	"Person_05"	0.279630063074803	-0.0173195859320984	-0.104818611112992	-0.420736146536614	-0.318287010514173	-0.601198678200787
"LAYING"	"Person_06"	0.272376614181538	-0.0175697042641846	-0.11599454136	-0.505086085072062	-0.368403670137262	-0.672512004586708
"LAYING"	"Person_07"	0.270211697814935	-0.0187904887668182	-0.112492375388312	-0.577518324748052	-0.546403365345779	-0.456473642256981
"LAYING"	"Person_08"	0.270759063295374	-0.0181894974688612	-0.106809623683986	-0.582958863017438	-0.349383732046263	-0.499472687913167
"LAYING"	"Person_11"	0.27658531139557	-0.0191272531933228	-0.108941761642405	-0.58947649779557	-0.490379346996835	-0.665324314227848
"LAYING"	"Person_14"	0.270184596009288	-0.0162548178510526	-0.100985935692074	-0.611671118216099	-0.374730765205077	-0.29354271467452
"LAYING"	"Person_15"	0.279976964145985	-0.012712482689708	-0.112391859715328	-0.653990049270073	-0.569926948260365	-0.730046803284672
"SITTING"	"Person_01"	0.265696920582133	-0.0182981725176081	-0.10784573454611	-0.545795331328326	-0.367716218227378	-0.502645746562824
"SITTING"	"Person_03"	0.273428719636364	-0.017856067384956	-0.106492632429097	-0.623413602046921	-0.480015920697654	-0.653625579293255
"SITTING"	"Person_05"	0.276785583125	-0.005766573425	-0.110123277	-0.96782717125	-0.8495421034375	-0.885864897291667
"SITTING"	"Person_18"	0.275979000163399	-0.0175745277433585	-0.107284583503268	-0.638066905816993	-0.565357541035948	-0.65201921627451
"SITTING"	"Person_20"	0.268425757926554	-0.0175912993773164	-0.108029145824294	-0.60484669490339	-0.369336706508757	-0.634787346548023
"SITTING"	"Person_24"	0.276767046391076	-0.0176822460103885	-0.107914503687664	-0.675459176298425	-0.582490655185302	-0.636497458900262
"STANDING"	"Person_02"	0.273113115788079	-0.0191323183174834	-0.115649958175497	-0.605586497159271	-0.428962986589404	-0.589360062210596
"STANDING"	"Person_04"	0.274183111498423	-0.0148081545344921	-0.107521430810726	-0.605211727785489	-0.509929384011325	-0.709492735962145
"STANDING"	"Person_09"	0.270313841621528	-0.0209466555412396	-0.101233826213889	-0.555656544538194	-0.5758878952125	-0.506111776081806
"STANDING"	"Person_10"	0.27684847392517	-0.017835790552415	-0.111301532185714	-0.537807711163265	-0.497405885644898	-0.614776952226361
"STANDING"	"Person_12"	0.27360872421875	-0.018337204411489	-0.106649116775	-0.583962207065	-0.522040023435	-0.699293531365625
"STANDING"	"Person_13"	0.275895876198777	-0.0176504796070948	-0.109135285550765	-0.624844460199083	-0.448816097853364	-0.587230562129052
"STANDING"	"Person_18"	0.27814512637931	-0.0157459104586207	-0.112478910982759	-0.992966775	-0.952954570862069	-0.96315652137931
"WALKING"	"Person_15"	0.276948447591623	-0.019155711395288	-0.112686764136126	-0.486643288080105	-0.418381657266492	-0.688247961146597
"WALKING"	"Person_16"	0.277887440374317	-0.0158567888309016	-0.107263924445355	-0.668161498298634	-0.649947067892896	-0.603819902386066
"WALKING"	"Person_17"	0.274029548065217	-0.0175416045074728	-0.109199853130082	-0.608455243870734	-0.567005319464348	-0.660582755619022
"WALKING"	"Person_19"	0.269723487105556	-0.0182031515710306	-0.118277180099383	-0.574658922919194	-0.507035084992639	-0.649184726556944
"WALKING"	"Person_21"	0.277466525522059	-0.0176664578561765	-0.10877848058848	-0.672323867377451	-0.565585190336299	-0.669621813176471
"WALKING"	"Person_22"	0.278117421034483	-0.017284271307931	-0.108943311968966	-0.990700228965517	-0.92659596862069	-0.951772433448276
"WALKING_DOWNSTAIRS"	"Person_22"	0.274435011283562	-0.0167819822703904	-0.108643270206164	-0.501933477777842	-0.447945896347705	-0.625624610690068
"WALKING_DOWNSTAIRS"	"Person_23"	0.273493254730108	-0.019589258786828	-0.109093982385242	-0.622594039757258	-0.532078546615699	-0.450557203409946
"WALKING_DOWNSTAIRS"	"Person_25"	0.275301467772127	-0.0193221769314914	-0.10962903098044	-0.716264537547677	-0.531421035602689	-0.64709556105868
"WALKING_DOWNSTAIRS"	"Person_26"	0.271825189243544	-0.0155235214557628	-0.106278134720721	-0.726017360852853	-0.688024995748348	-0.770143087837838
"WALKING_UPSTAIRS"	"Person_26"	0.279873757288136	-0.0198103157932203	-0.115312473728814	-0.0422342890508475	-0.00994569904576271	-0.337199283220339
"WALKING_UPSTAIRS"	"Person_27"	0.277264567074468	-0.0167969215592152	-0.110848300413564	-0.660976085218085	-0.630460488658511	-0.68321532587766
"WALKING_UPSTAIRS"	"Person_28"	0.277532554764398	-0.0191721442063089	-0.109710873104188	-0.649040391307853	-0.573651895933508	-0.685821415026178
"WALKING_UPSTAIRS"	"Person_29"	0.279111521944767	-0.018471953048314	-0.108675612269477	-0.574295395364826	-0.598400275636657	-0.606461283926453
"WALKING_UPSTAIRS"	"Person_30"	0.276305836721932	-0.0175856077340209	-0.10589355727859	-0.615890785389034	-0.519047387875457	-0.522643273772115
